Make,Year,Price,Mileage,Color,Buy Rate
Toyota,2018,20000,50000,Blue,0.8
Honda,2019,25000,40000,Red,0.7
Ford,2020,28000,30000,Black,0.6
Chevrolet,2017,18000,60000,White,0.75
Nissan,2019,23000,35000,Silver,0.65
BMW,2021,35000,20000,Gray,0.55
Mercedes,2018,30000,45000,Black,0.8
Audi,2020,32000,25000,White,0.7
Subaru,2019,22000,35000,Blue,0.75
Hyundai,2020,26000,30000,Red,0.65
Kia,2017,20000,55000,Green,0.6
Volkswagen,2018,24000,40000,Black,0.8
Tesla,2022,60000,15000,Blue,0.85
Lexus,2019,35000,25000,Silver,0.75
Mazda,2018,21000,45000,Red,0.7
Jeep,2020,29000,20000,White,0.65
Volvo,2021,38000,30000,Gray,0.6
Chrysler,2019,27000,35000,Black,0.8
Buick,2017,22000,40000,Blue,0.7
Ferrari,2022,150000,10000,Red,0.9
Acura,2020,33000,22000,White,0.75
Porsche,2021,45000,18000,Black,0.85
Infiniti,2018,32000,28000,Gray,0.7
Land Rover,2019,55000,25000,Green,0.65
Jaguar,2020,60000,20000,Blue,0.6
Maserati,2021,70000,15000,Red,0.8
Bentley,2019,80000,12000,White,0.75
Rolls Royce,2020,100000,10000,Silver,0.9
Lincoln,2018,45000,20000,Black,0.8
Cadillac,2017,40000,30000,Blue,0.75
Aston Martin,2021,150000,8000,Red,0.85
Alfa Romeo,2019,60000,20000,White,0.7
Bugatti,2020,300000,500,Blue,0.95
